Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,2.9567566,19.235483,0.515625
16,test,2.9567566,19.235483,0.515625
32,val,2.1805515,8.851187,0.59765625
32,test,2.1805515,8.851187,0.59765625
64,val,1.6835486,5.3846297,0.6640625
64,test,1.6835486,5.3846297,0.6640625
128,val,1.3553262,3.8780255,0.71191406
128,test,1.3553262,3.8780255,0.71191406
256,val,1.1884966,3.282143,0.7294922
256,test,1.1884966,3.282143,0.7294922
512,val,1.2408057,3.458399,0.72094727
512,test,1.2408057,3.458399,0.72094727
1024,val,1.20299,3.330059,0.75097656
1024,test,1.20299,3.330059,0.75097656
2048,val,2.3654456,10.648783,0.57836914
2048,test,2.3654456,10.648783,0.57836914
4096,val,2.8542514,17.361437,0.4993286
4096,test,2.8542514,17.361437,0.4993286
8192,val,2.9955962,19.997278,0.46354675
8192,test,2.9955962,19.997278,0.46354675
16384,val,3.2847798,26.703104,0.41617584
16384,test,3.2847798,26.703104,0.41617584
