Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,2.392582,10.941709,0.5546875
16,test,2.392582,10.941709,0.5546875
32,val,1.6392095,5.151096,0.6640625
32,test,1.6392095,5.151096,0.6640625
64,val,1.1582541,3.184369,0.74609375
64,test,1.1582541,3.184369,0.74609375
128,val,0.89384186,2.4445033,0.79589844
128,test,0.89384186,2.4445033,0.79589844
256,val,0.77509296,2.170794,0.8300781
256,test,0.77509296,2.170794,0.8300781
512,val,0.8179498,2.2658496,0.81933594
512,test,0.8179498,2.2658496,0.81933594
1024,val,0.74430126,2.1049702,0.8305664
1024,test,0.74430126,2.1049702,0.8305664
2048,val,1.975552,7.2105985,0.6373291
2048,test,1.975552,7.2105985,0.6373291
4096,val,2.52453,12.485025,0.54434204
4096,test,2.52453,12.485025,0.54434204
8192,val,2.7118468,15.057058,0.5035248
8192,test,2.7118468,15.057058,0.5035248
16384,val,3.007533,20.237415,0.45215607
16384,test,3.007533,20.237415,0.45215607
