Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.0359836,153.85085,0.22141872
16,test,5.023558,151.951,0.22181456
32,val,5.092559,162.80592,0.21871798
32,test,5.079706,160.72684,0.21878844
64,val,5.175356,176.85954,0.2143332
64,test,5.134629,169.80127,0.21518186
128,val,5.2522407,190.99374,0.21095353
128,test,5.182244,178.08194,0.21252796
256,val,5.3425756,209.05045,0.20746794
256,test,5.278352,196.0465,0.20692283
512,val,5.3878417,218.73079,0.20383888
512,test,5.3599916,212.72316,0.20418556
