Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.1380234,170.37866,0.21500815
16,test,5.1435137,171.31667,0.21293889
32,val,5.1381545,170.401,0.21498592
32,test,5.1435137,171.31667,0.21293889
64,val,5.138154,170.40091,0.2149779
64,test,5.1434393,171.30392,0.21294522
128,val,5.1381545,170.401,0.21498191
128,test,5.143337,171.28636,0.21294743
256,val,5.138366,170.43707,0.21497996
256,test,5.143635,171.33742,0.21292384
512,val,5.1378465,170.34851,0.21500818
512,test,5.1435537,171.32353,0.21298163
1024,val,5.1377296,170.32861,0.21508086
1024,test,5.1435547,171.32368,0.21298863
