Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,2.5819683,13.22314,0.53125
16,test,2.5819683,13.22314,0.53125
32,val,2.167245,8.734188,0.59375
32,test,2.167245,8.734188,0.59375
64,val,1.8748721,6.519985,0.640625
64,test,1.8748721,6.519985,0.640625
128,val,1.8080443,6.0985093,0.6542969
128,test,1.8080443,6.0985093,0.6542969
256,val,1.6819383,5.3759665,0.68359375
256,test,1.6819383,5.3759665,0.68359375
512,val,1.8746555,6.518573,0.66796875
512,test,1.8746555,6.518573,0.66796875
1024,val,1.9887532,7.3064184,0.63964844
1024,test,1.9887532,7.3064184,0.63964844
2048,val,3.111618,22.457352,0.4729004
2048,test,3.111618,22.457352,0.4729004
4096,val,3.403282,30.062601,0.4255066
4096,test,3.403282,30.062601,0.4255066
8192,val,3.5446277,34.626793,0.39178467
8192,test,3.5446277,34.626793,0.39178467
16384,val,3.7443404,42.281113,0.3607254
16384,test,3.7443404,42.281113,0.3607254
