Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,1.5896053,4.901814,0.6640625
16,test,1.5896053,4.901814,0.6640625
32,val,1.2099835,3.353429,0.7421875
32,test,1.2099835,3.353429,0.7421875
64,val,1.1650372,3.206042,0.7558594
64,test,1.1650372,3.206042,0.7558594
128,val,1.0989373,3.0009751,0.7792969
128,test,1.0989373,3.0009751,0.7792969
256,val,1.0406955,2.8311856,0.79003906
256,test,1.0406955,2.8311856,0.79003906
512,val,1.0921904,2.980796,0.7766113
512,test,1.0921904,2.980796,0.7766113
1024,val,0.94873214,2.5824335,0.79748535
1024,test,0.94873214,2.5824335,0.79748535
2048,val,2.2633336,9.615088,0.6029053
2048,test,2.2633336,9.615088,0.6029053
4096,val,2.887631,17.950733,0.4988098
4096,test,2.887631,17.950733,0.4988098
8192,val,3.1691952,23.788332,0.44132996
8192,test,3.1691952,23.788332,0.44132996
16384,val,3.4464712,31.389431,0.3975067
16384,test,3.4464712,31.389431,0.3975067
