Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.096318,163.41905,0.22075805
16,test,5.0570455,157.1256,0.22251342
32,val,5.1694865,175.82454,0.21594696
32,test,5.1197767,167.29802,0.21760036
64,val,5.27351,195.09956,0.21043697
64,test,5.1908665,179.62411,0.21363369
128,val,5.350804,210.77766,0.20713337
128,test,5.2596335,192.41098,0.21012305
256,val,5.4244328,226.88261,0.2038181
256,test,5.3500614,210.62123,0.20652416
512,val,5.516757,248.82678,0.20066254
512,test,5.40332,222.14267,0.20443058
1024,val,5.5480795,256.74402,0.20018326
1024,test,5.47614,238.9227,0.20085685
2048,val,5.5166597,248.80258,0.20053427
2048,test,5.5504174,257.34497,0.1972305
