Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.13639,170.10062,0.21518433
16,test,5.1419034,171.04102,0.21264188
32,val,5.1365237,170.12334,0.21516211
32,test,5.1419034,171.04102,0.21264188
64,val,5.136524,170.12343,0.2151541
64,test,5.14183,171.02846,0.21264118
128,val,5.1365232,170.12326,0.2151661
128,test,5.141729,171.01117,0.21264681
256,val,5.1367426,170.16058,0.21516827
256,test,5.1420283,171.0624,0.2126161
512,val,5.1362386,170.07483,0.21520069
512,test,5.1419535,171.04958,0.21268061
1024,val,5.1361237,170.0553,0.21527375
1024,test,5.141954,171.04967,0.21268061
