Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.06875,158.97546,0.21858782
16,test,5.0396805,154.42067,0.21945237
32,val,5.109085,165.51884,0.21700811
32,test,5.0694137,159.08102,0.21830972
64,val,5.16056,174.26204,0.21471362
64,test,5.106132,165.03079,0.21590178
128,val,5.224817,185.82712,0.21202269
128,test,5.164089,174.87811,0.21311522
256,val,5.314146,203.19093,0.20872997
256,test,5.22421,185.71436,0.21026255
512,val,5.370351,214.93826,0.20627327
512,test,5.2883964,198.0256,0.20765428
1024,val,5.397858,220.93271,0.20465213
1024,test,5.3649745,213.78578,0.2047631
2048,val,5.433003,228.8354,0.20338325
2048,test,5.454683,233.85071,0.19991429
