Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.2148604,183.98615,0.21194503
16,test,5.195398,180.43993,0.21162502
32,val,5.233296,187.40947,0.21155818
32,test,5.2117805,183.42036,0.2108283
64,val,5.251468,190.84627,0.21104963
64,test,5.227245,186.27887,0.21009701
128,val,5.283048,196.96936,0.2088152
128,test,5.2564363,191.79677,0.20885767
256,val,5.326901,205.79922,0.20747995
256,test,5.298146,199.96568,0.20665705
512,val,5.375006,215.94121,0.20553131
512,test,5.3322473,206.90244,0.20521814
1024,val,5.4060345,222.74652,0.2040694
1024,test,5.4015307,221.74559,0.20212044
2048,val,5.414673,224.67903,0.20465037
2048,test,5.449691,232.68622,0.19965786
