Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,4.96255,142.9579,0.22596738
16,test,4.9916463,147.17853,0.22502936
32,val,5.055015,156.8069,0.2214089
32,test,5.066414,158.60454,0.22040284
64,val,5.19593,180.53596,0.21382464
64,test,5.1460605,171.75352,0.21604507
128,val,5.3046656,201.27368,0.20844279
128,test,5.2409825,188.85558,0.21063688
256,val,5.399562,221.30945,0.20477563
256,test,5.321185,204.62625,0.20622692
512,val,5.4353414,229.37114,0.2010596
512,test,5.373437,215.6026,0.203125
1024,val,5.4645534,236.17035,0.19986577
1024,test,5.5186086,249.28793,0.19941476
