Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.359057,212.52444,0.20563856
16,test,5.375282,216.00073,0.20120136
32,val,5.359201,212.55505,0.20561571
32,test,5.375282,216.00073,0.20120136
64,val,5.3592005,212.55495,0.20562373
64,test,5.375209,215.98497,0.20120639
128,val,5.359201,212.55505,0.20562373
128,test,5.3751287,215.96768,0.20120595
256,val,5.359376,212.59224,0.20559695
256,test,5.3753843,216.02289,0.20116663
512,val,5.358893,212.48958,0.20562758
512,test,5.375445,216.03596,0.20121038
1024,val,5.358728,212.45453,0.20570505
1024,test,5.3754444,216.03586,0.20121038
