Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.343251,209.19174,0.20444134
16,test,5.3520746,211.04568,0.20128174
32,val,5.343399,209.22267,0.20441842
32,test,5.3520746,211.04568,0.20128174
64,val,5.343399,209.22267,0.20442241
64,test,5.351993,211.02849,0.20127977
128,val,5.343399,209.22267,0.20441441
128,test,5.3519015,211.00917,0.20128985
256,val,5.3435364,209.2514,0.20440304
256,test,5.3522015,211.07245,0.20125756
512,val,5.3430333,209.14616,0.2044164
512,test,5.3521104,211.05324,0.20131189
