Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.1466446,171.85388,0.21526842
16,test,5.152752,172.90666,0.21222955
32,val,5.1467752,171.87634,0.2152462
32,test,5.152752,172.90666,0.21222955
64,val,5.1467743,171.87617,0.21524219
64,test,5.1526647,172.89157,0.2122323
128,val,5.146774,171.8761,0.21525021
128,test,5.152557,172.87296,0.21223085
256,val,5.146999,171.91478,0.21524438
256,test,5.152857,172.9248,0.21220694
512,val,5.146474,171.82455,0.21527289
512,test,5.152789,172.91309,0.21226758
1024,val,5.1463695,171.80661,0.21535815
1024,test,5.152787,172.91277,0.21226409
