Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.310672,202.48622,0.20555048
16,test,5.3256216,205.5361,0.20381863
32,val,5.3108172,202.51567,0.20552762
32,test,5.3256216,205.5361,0.20381863
64,val,5.3108177,202.51576,0.2055116
64,test,5.3255396,205.51924,0.20382744
128,val,5.3108177,202.51576,0.20552762
128,test,5.3253975,205.49004,0.2038346
256,val,5.3110194,202.55663,0.2055128
256,test,5.3256655,205.5451,0.20381393
512,val,5.310582,202.46806,0.20553131
512,test,5.3256216,205.5361,0.20385654
1024,val,5.310427,202.4367,0.20559253
1024,test,5.325622,205.53618,0.20385654
