Validation sequence Length,Dataset Type,Loss,Perplexity,Accuracy
16,val,5.143164,171.25679,0.21478793
16,test,5.1269107,168.49577,0.21532205
32,val,5.162551,174.60931,0.21395679
32,test,5.1457944,171.70784,0.21392082
64,val,5.1812525,177.90549,0.21325603
64,test,5.1664853,175.29762,0.21327722
128,val,5.2211795,185.15245,0.21142603
128,test,5.2032924,181.87004,0.21159466
256,val,5.275101,195.41025,0.20897835
256,test,5.2402506,188.71739,0.20933932
512,val,5.322711,204.93874,0.2067465
512,test,5.2868147,197.71265,0.20756328
1024,val,5.3520856,211.048,0.20550813
1024,test,5.3498044,210.56712,0.20368503
2048,val,5.382853,217.64233,0.20486021
2048,test,5.406268,222.79858,0.20029016
